CPE,PC1,PC2,cluster
D10JC116614G,-18.765863127290313,2.7952264260765145,0
D10OF068767,39.558508198138334,83.81002634369705,1
D11JE109235D,-11.43639706584536,0.2724219051685748,0
D12XF094973V,5.60847142202963,-7.061863831091923,1
D13XF126371P,16.893903921758938,0.27392987420364073,1
D15XF072893,2.6673099239968834,6.164814923959719,0
D16BA133407,19.95747501054789,-19.897394267283467,1
D16BX009425,-2.3729727214742353,1.6521579363585366,0
D16BX009428,-7.336779821163106,0.9674332625933556,0
D16XF077374,8.480076331985702,-0.18442174476738224,1
D17BA019937,-2.7087781093751593,-1.4333783347341276,0
D17BA019938,2.6874727514503305,0.7960204848475521,0
D18BA316162,6.566473326559393,-5.172391917157908,1
D18BX003233,-29.065374940735637,4.665980918117502,0
D18BX003239,-11.972287455557105,4.020614672041043,0
D18BX003284,26.9416339256257,-32.079319561233525,1
D19BA000196,16.39965923094195,-10.648862923793565,1
D19BA093038,19.3412345605877,0.6790329526033467,1
D19BA093039,11.52369514146638,-2.5105686637878946,1
D19BA310997,-0.2248433095933082,-7.040485673224551,0
D19BA343472,17.161439176168134,-15.553358819790185,1
D19BA343473,19.98974169920335,-17.97810205301422,1
D19BA343474,-13.853425947674308,0.4282802375789869,0
D19BA343504,11.41041540239302,-13.87427726239884,1
D19BX000040,14.576496962451657,-6.129017486117086,1
D19BX000041,-1.7855311299130647,-0.41052580454438936,0
D19BX000057,12.413569152601626,1.0617033786021566,1
H19VA232210,14.387206278900662,-11.89555804534024,1
H20VA222003,7.941127169339991,3.117698161487983,1
H20VA222016,-2.141154226028071,6.0689455391509295,0
H20VA543760,4.422010029784387,8.733065121839111,1
H21OF834686I,-0.08606782425163166,-1.0177829585244953,0
H21OF834752B,-12.56229144737643,2.2711484624066194,0
H21VA420473Z,13.368615125216829,-2.1951191125147895,1
H21VA420783K,14.109999683812557,-2.192370917462752,1
I11JB001828,4.578645003511743,-0.3309619033231973,1
I13JA287987,-3.0898286152145515,-0.886466810387815,0
I13JA287996,9.797762028417926,-8.923274987045176,1
I13JE090461J,4.914881759801252,7.729713973255803,1
I14JE002622G,15.735815843126895,-6.5192217154971335,1
I16JC098524,8.928211327264803,-0.8447787516471587,1
I17JE060870R,-1.3508952906111356,-3.0772031904729915,0
I17JE060874,15.675347359297314,-3.230697834373599,1
I17JE060876,14.61935637434576,-1.6480021862761285,1
I17JE060878,13.845213127082705,-8.428064657190657,1
I17JE060879,12.523647333512848,-4.741712783858895,1
I17JE096914,16.551530893772387,-0.7154269198942502,1
I18JC067687,-8.158641649954474,2.5838751934053072,0
I18MF912111K,-1.720386291380193,1.6297020696976012,0
I19JC020003,-3.7914571669639106,6.228482669716979,0
I19JC029846L,-6.288554900194825,1.9425041241426626,0
I19JC029855,0.007675149763829757,1.2216928745026385,0
I19JC029856,-7.491691253815903,3.2630483386496545,0
I19JC029874,13.158693509485634,-4.690089532083947,1
I19JC029877,13.378543743536682,-0.8866953137486462,1
I19JC029885,-6.819533226667894,0.7976285402165131,0
I19JC065474,-3.578750669033019,7.281351649913732,0
I19JC065506,-1.567937283979619,-1.5429440254168112,0
I19JC065533,-2.2533060901579898,5.470214717243697,0
I19JC065537,-5.586172207740506,-1.0560504432180884,0
I19JC065564I,-3.718371300613164,-2.770286954338033,0
I19JE047347N,-0.34122865870144914,0.8719252729419863,0
I19MF924543A,12.392472865780785,-7.119614225211711,1
I19MF927865,-15.881887060283672,1.5095095695877006,0
I20JE060957,-5.002968876678375,-0.9681339669752131,0
I20JE060959,6.144767183938588,3.205316556533271,1
I20JE067857,-1.085175276071067,0.2853941574587669,0
I20JE067858,-5.172721378995431,-0.6577870087233594,0
I20JE067859,-8.303293467077102,0.6707896745924817,0
I20MF944347P,-1.131023671569723,0.5310914461377801,0
I20MF945857,19.358043943089495,-0.2970347927108654,1
I21JC029093K,-25.753131961347005,5.365771703829098,0
I21JC029107Z,0.9475669714410465,-7.511910604018177,0
I21JC029118C,-4.596264657165244,0.125555541216707,0
I21JC029120W,-2.0924504534274115,3.401118293707714,0
I21JC029122Y,16.973812526336904,-6.824109234201582,1
I21JC029129F,-3.3738188825294295,-1.0117703543361911,0
I21JC029134C,13.784672815356894,0.7420428534213848,1
I21JC029136E,-25.87550296944033,3.715522148267844,0
I21JC029148I,-11.749081254914827,0.5948545596240662,0
I21JC029165J,-13.429019597479838,1.900619043894839,0
I21JC029166K,7.453855239854411,-13.839691695535352,1
I21JC029323F,-6.720545412990816,0.5762363060957154,0
I21JC029325H,-4.1513564653799335,-0.4840747521544501,0
I21JC029328K,-6.267229671486304,0.8116723127845245,0
I21JC029332G,-11.595228165503347,2.041267339915977,0
