CPE,hora,consumo_real,veredicto,data
C17SC007489,16,0.0,normal,2026-05-01
C17SC007489,17,0.0,normal,2026-05-01
C17SC007489,18,0.0,normal,2026-05-01
C17SC007489,19,0.0,normal,2026-05-01
C17SC007489,20,0.0,normal,2026-05-01
C17SC007489,21,0.0,normal,2026-05-01
C17SC007489,22,0.0,normal,2026-05-01
C17SC007489,23,0.0,normal,2026-05-01
C17SC007492,0,0.0,normal,2026-05-01
C17SC007492,1,0.0,normal,2026-05-01
C17SC007492,2,0.0,normal,2026-05-01
C17SC007492,3,0.0,normal,2026-05-01
C17SC007492,4,0.0,normal,2026-05-01
C17SC007492,5,0.0,normal,2026-05-01
C17SC007492,6,0.0,normal,2026-05-01
C17SC007492,7,0.0,normal,2026-05-01
C17SC007492,8,0.0,normal,2026-05-01
C17SC007492,9,0.0,normal,2026-05-01
C17SC007492,10,0.0,normal,2026-05-01
C17SC007492,11,0.0,normal,2026-05-01
C17SC007492,12,0.0,normal,2026-05-01
C17SC007492,13,0.0,normal,2026-05-01
C17SC007492,14,0.0,normal,2026-05-01
C17SC007492,15,0.0,normal,2026-05-01
C17SC007492,16,0.0,normal,2026-05-01
C17SC007492,17,0.0,normal,2026-05-01
C17SC007492,18,0.0,normal,2026-05-01
C17SC007492,19,0.0,normal,2026-05-01
C17SC007492,20,0.0,normal,2026-05-01
C17SC007492,21,0.0,normal,2026-05-01
C17SC007492,22,0.0,normal,2026-05-01
C17SC007492,23,0.0,normal,2026-05-01
C17SC007493,0,0.0,normal,2026-05-01
C17SC007493,1,0.0,normal,2026-05-01
C17SC007493,2,0.0,normal,2026-05-01
C17SC007493,3,0.0,normal,2026-05-01
C17SC007493,4,0.0,normal,2026-05-01
C17SC007493,5,0.0,normal,2026-05-01
C17SC007493,6,0.0,normal,2026-05-01
C17SC007493,7,0.0,normal,2026-05-01
C17SC007493,8,0.0,normal,2026-05-01
C17SC007493,9,0.0,normal,2026-05-01
C17SC007493,10,0.0,normal,2026-05-01
C17SC007493,11,0.0,normal,2026-05-01
C17SC007493,12,0.0,normal,2026-05-01
C17SC007493,13,0.0,normal,2026-05-01
C17SC007493,14,0.0,normal,2026-05-01
C17SC007493,15,0.0,normal,2026-05-01
C17SC007493,16,0.0,normal,2026-05-01
C17SC007493,17,0.0,normal,2026-05-01
C17SC007493,18,0.0,normal,2026-05-01
C17SC007493,19,0.0,normal,2026-05-01
C17SC007493,20,0.0,normal,2026-05-01
C17SC007493,21,0.0,normal,2026-05-01
C17SC007493,22,0.0,normal,2026-05-01
C17SC007493,23,0.0,normal,2026-05-01
C17SC007494,0,0.0,normal,2026-05-01
C17SC007494,1,0.0,normal,2026-05-01
C17SC007494,2,0.0,normal,2026-05-01
C17SC007494,3,0.0,normal,2026-05-01
C17SC007494,4,0.0,normal,2026-05-01
C17SC007494,5,0.0,normal,2026-05-01
C17SC007494,6,0.0,normal,2026-05-01
C17SC007494,7,0.0,normal,2026-05-01
C17SC007494,8,0.0,normal,2026-05-01
C17SC007494,9,0.0,normal,2026-05-01
C17SC007494,10,0.0,normal,2026-05-01
C17SC007494,11,0.0,normal,2026-05-01
C17SC007494,12,0.0,normal,2026-05-01
C17SC007494,13,0.0,normal,2026-05-01
C17SC007494,14,0.0,normal,2026-05-01
C17SC007494,15,0.0,normal,2026-05-01
C17SC007494,16,0.0,normal,2026-05-01
C17SC007494,17,0.0,normal,2026-05-01
C17SC007494,18,0.0,normal,2026-05-01
C17SC007494,19,0.0,normal,2026-05-01
C17SC007494,20,0.0,normal,2026-05-01
C17SC007494,21,0.0,normal,2026-05-01
C17SC007494,22,0.0,normal,2026-05-01
C17SC007494,23,0.0,normal,2026-05-01
C18LB000167,0,0.0,normal,2026-05-01
C18LB000167,1,0.0,normal,2026-05-01
C18LB000167,2,0.0,normal,2026-05-01
