CPE,dias_com_dados,horas_ativas,consumo_total_m3,motivo
I19JC029813,17,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I19JC029815,14,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I19JC029867,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I19JC029868,14,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I19JC029878,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I19JC029884,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I19JC065475,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I19JC065518,19,2,4.135,menos de 6 horas com consumo
I19JC065519,19,3,17.25,menos de 6 horas com consumo
I19JE047349,14,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I19JE055638,18,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I19MF927868E,18,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I20JE060955,14,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I20JE060958,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I20MF944348Q,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I20MF945856,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC023968M,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029084J,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029094L,14,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029147H,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029153F,19,5,73.95,menos de 6 horas com consumo
I21JC029154G,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029164I,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029167L,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029357P,18,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029360K,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029424J,18,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029429O,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029445O,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029459U,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029474T,18,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029494X,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029495Y,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029541N,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029555T,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029567X,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029576Y,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029599F,18,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029603K,14,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029611K,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029632P,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029733T,14,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029735V,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JC029745X,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JE003864,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JE003865,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JE043613M,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JE043615O,8,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JE043617Q,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JE074440C,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JE074442E,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21JE074443F,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21LA091899,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21LA162615,19,2,0.005,consumo total muito baixo + menos de 6 horas com consumo
I21LA173715,19,5,0.065,consumo total muito baixo + menos de 6 horas com consumo
I21LA173760,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21LA173770,19,7,0.088,consumo total muito baixo
I21LA173780,14,3,0.014,consumo total muito baixo + menos de 6 horas com consumo
I21LA173790,19,3,0.015,consumo total muito baixo + menos de 6 horas com consumo
I21LA173814,19,4,0.029,consumo total muito baixo + menos de 6 horas com consumo
I21LA173852,19,4,0.066,consumo total muito baixo + menos de 6 horas com consumo
I21LA173859,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21LA173876,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21LA173877,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21LA174020,19,3,0.034,consumo total muito baixo + menos de 6 horas com consumo
I21LA180227,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21LA182611,8,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21LA184424,19,4,0.046,consumo total muito baixo + menos de 6 horas com consumo
I21LA184504,19,10,0.084,consumo total muito baixo
I21LA184517,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21LA185911,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21LA190301,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I21LA327883,8,10,0.095,consumo total muito baixo
I21LA327884,19,16,0.063,consumo total muito baixo
I21LA389336,19,5,1.762,menos de 6 horas com consumo
I21MF951608T,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I22JC014372Y,2,4,2.498,menos de 5 dias com dados + menos de 6 horas com consumo
I22JC014382A,19,15,0.046,consumo total muito baixo
I22JC094262H,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I22JC094275M,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I22JC094277O,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I22JC094284N,19,3,0.265,menos de 6 horas com consumo
I22LA303411,8,3,0.085,consumo total muito baixo + menos de 6 horas com consumo
I22LA303427,8,3,0.082,consumo total muito baixo + menos de 6 horas com consumo
I22LA303573,8,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I22LA304258,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I22LA306555,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I23JC012768P,17,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I23JC012769Q,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I23LA005760,8,5,0.981,menos de 6 horas com consumo
I23LA005956,19,3,0.024,consumo total muito baixo + menos de 6 horas com consumo
I23LA005976,6,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I23LA006021,19,2,0.011,consumo total muito baixo + menos de 6 horas com consumo
I23LA007145,19,2,0.01,consumo total muito baixo + menos de 6 horas com consumo
I23LA007187,5,5,0.163,menos de 6 horas com consumo
I23LA007231,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I23LA009886,18,4,0.026,consumo total muito baixo + menos de 6 horas com consumo
I23LA009888,18,2,0.012,consumo total muito baixo + menos de 6 horas com consumo
I23LA211678,19,3,0.053,consumo total muito baixo + menos de 6 horas com consumo
I23LA212338,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I23LA212355,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I23LA212359,13,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I23LA212366,19,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I23LA213385,19,23,0.084,consumo total muito baixo
I23LA454934,18,0,0.0,consumo total muito baixo + menos de 6 horas com consumo
I23LA459839,18,5,1.294,menos de 6 horas com consumo
I23LA545728,19,8,0.018,consumo total muito baixo
I24LA025871,19,2,0.019,consumo total muito baixo + menos de 6 horas com consumo
I24LA027028,8,3,0.004,consumo total muito baixo + menos de 6 horas com consumo
