CPE,dias_com_dados,horas_com_dados,horas_ativas,consumo_total_m3,consumo_medio_dia_m3,pct_madrugada,pct_laboral,pct_noite,hora_pico,pct_hora_pico,desvios_no_periodo,cluster
I21JC029635S,14,289,24,7.34,0.5243,29.99,41.01,24.73,13,4.44,66,0
I21JC029765B,19,433,24,48.202,2.5369,29.06,41.73,25.11,0,4.35,0,0
I21JC037657V,19,380,24,17.767,0.9351,8.25,54.67,30.7,19,11.78,19,0
I21JC037658W,19,374,24,16.355,0.8608,5.65,66.8,23.79,14,12.63,16,0
I21JC037659X,19,388,24,11.864,0.6244,16.5,44.97,34.3,22,10.55,15,0
I21JC037660Q,19,387,24,17.605,0.9266,14.31,37.02,44.81,21,11.85,14,0
I21JC037663T,19,433,24,192.683,10.1412,12.66,52.01,31.99,19,6.63,11,0
I21JC043488L,19,373,24,29.011,1.5269,4.72,52.98,40.76,18,11.51,17,0
I21JC043489M,19,403,24,17.271,0.909,7.24,60.98,27.55,11,10.37,12,0
I21JC043490F,19,412,24,25.158,1.3241,12.06,61.39,21.5,11,8.87,10,0
I21JC043496L,19,432,24,55.267,2.9088,1.17,76.09,22.49,12,24.53,8,1
I21JE030622,8,143,24,63.601,7.9501,8.05,52.9,33.58,11,7.28,1,0
I21LA148189,21,425,16,0.18,0.0086,0.0,70.56,24.44,10,13.89,0,1
I21LA152238,19,421,9,0.169,0.0089,0.0,88.76,11.24,14,30.77,0,1
I21LA152381,19,433,24,13.104,0.6897,0.24,85.66,9.91,14,13.78,0,1
I21LA173758,19,409,6,0.231,0.0122,0.0,76.62,23.38,16,32.03,0,1
I21LA173785,18,403,22,0.183,0.0102,5.46,79.78,13.66,16,57.92,1,1
I21LA173999,19,401,6,0.334,0.0176,0.0,4.19,95.81,19,35.03,1,0
I21LA183439,19,433,24,14.125,0.7434,25.44,47.24,23.75,12,6.18,1,0
I21LA184421,19,412,16,0.377,0.0198,0.0,76.66,21.49,11,13.53,0,1
I21LA186120,19,429,24,53.199,2.7999,21.4,57.02,18.42,9,9.89,7,0
I21LA186299,19,377,11,7.465,0.3929,0.0,73.07,26.93,21,26.93,20,1
I21LA186317,19,421,12,2.274,0.1197,0.0,70.05,29.95,11,17.33,3,1
I21LA327835,19,357,16,1.526,0.0803,13.11,65.66,13.63,21,12.19,6,0
I22JC014373Z,5,24,16,4.786,0.9572,21.44,53.43,25.14,9,42.96,2,0
I22JC094273K,19,376,24,67.815,3.5692,9.08,51.65,37.11,21,11.15,10,0
I22JC094276N,18,236,24,29.21,1.6228,26.21,43.07,26.82,0,21.3,11,0
I22JC094278P,19,421,24,44.14,2.3232,7.43,52.28,33.26,19,8.87,10,0
I22JC094280J,18,253,24,23.387,1.2993,24.21,37.79,35.61,2,19.34,10,0
I22JC094282L,19,345,24,43.659,2.2978,12.71,51.33,31.74,12,13.28,12,0
I22JC094285O,19,259,24,24.099,1.2684,7.01,66.62,25.27,9,22.6,14,0
I22JC094286P,19,385,24,45.068,2.372,17.79,45.5,32.71,0,8.11,12,0
I22JC094287Q,8,144,24,17.43,2.1788,16.71,61.39,19.3,10,8.39,1,0
I22LA224628,19,433,15,6.932,0.3648,0.0,80.8,19.11,15,16.06,2,1
I22LA303495,7,120,17,0.476,0.068,0.0,72.06,27.73,15,40.55,2,1
I23JC095866,8,145,24,17.07,2.1338,10.64,49.73,35.67,20,8.56,6,0
I23JC095867,8,145,24,17.428,2.1785,6.2,45.32,45.71,19,12.11,2,0
I23JC095869,8,133,24,32.902,4.1128,12.85,50.08,32.0,21,9.39,2,0
I23JC095870,8,141,24,36.141,4.5176,9.26,52.87,33.43,14,11.87,2,0
I23JC095961O,8,141,24,141.846,17.7308,6.32,59.95,33.65,16,10.75,18,0
I23JC096059X,19,433,24,94.714,4.9849,6.56,47.92,40.79,18,8.56,8,0
I23JC096060Q,19,413,24,31.788,1.6731,4.67,54.35,38.06,19,9.78,11,0
I23JC096061R,19,429,24,21.133,1.1123,7.8,48.22,42.37,20,9.23,10,0
I23JC096062S,8,145,24,8.855,1.1069,7.27,40.06,48.06,18,17.43,3,0
I23JC096063T,19,403,24,60.845,3.2024,10.54,48.59,37.9,19,8.36,9,0
I23JE044621,19,433,24,31.783,1.6728,13.2,64.03,20.14,12,9.66,17,0
I23LA005984,19,289,8,0.156,0.0082,15.38,29.49,55.13,21,35.26,1,0
I23LA005997,19,384,9,0.137,0.0072,0.0,83.21,16.79,8,16.79,0,1
I23LA009785,19,433,24,83.203,4.3791,18.79,60.83,17.66,13,8.01,17,0
I23LA213007,19,426,24,2.921,0.1537,13.83,51.59,33.14,16,11.3,6,0
I23LA465873,19,428,24,0.508,0.0267,8.07,70.47,20.28,10,16.93,0,1
I23LA547069,19,416,15,14.513,0.7638,0.0,91.5,8.5,14,15.06,0,1
I24LA025413,19,425,20,5.068,0.2667,0.1,96.92,2.98,11,28.47,5,1
I24LA025880,19,421,12,0.46,0.0242,0.0,73.7,26.3,10,27.61,2,1
I24LA026648,19,395,8,0.145,0.0076,0.0,89.66,10.34,15,82.07,1,1
I24LA028096,19,431,24,24.089,1.2678,2.79,82.49,14.36,13,15.35,0,1
I24LA028098,19,431,17,2.862,0.1506,1.36,63.03,35.6,20,9.5,0,0
I24LA028157,19,433,6,0.107,0.0056,0.0,73.83,26.17,12,38.32,0,1
I24LA028258,19,433,24,31.667,1.6667,4.13,85.17,5.8,13,14.35,1,1
I24LA029109,14,289,15,3.573,0.2552,0.06,54.55,45.4,19,26.67,2,0
