CPE,data,tipo_dia,consumo,habitual,std,z_score,z_real,desvio_pct,veredicto,n_dias,confianca,fonte_baseline,threshold
PT0002000068859187RL,2026-06-01,dia_util,10.78,8.62,1.57,1.37,1.37,25.1,normal,40,alta,histórico dia_util,2.0
PT0002000068859325FL,2026-06-01,dia_util,26.69,21.74,6.25,0.79,0.79,22.8,normal,40,alta,histórico dia_util,2.0
PT0002000068859382XF,2026-06-01,dia_util,26.67,25.37,5.15,0.25,0.25,5.1,normal,40,alta,histórico dia_util,2.0
PT0002000068859393XH,2026-06-01,dia_util,29.26,27.5,5.43,0.33,0.33,6.4,normal,40,alta,histórico dia_util,2.0
PT0002000068859597LS,2026-06-01,dia_util,27.57,27.53,6.69,0.01,0.01,0.1,normal,40,alta,histórico dia_util,2.0
PT0002000071896778MT,2026-06-01,dia_util,5.83,11.08,8.42,-0.62,-0.62,-47.4,normal,40,alta,histórico dia_util,2.0
PT0002000073231742VK,2026-06-01,dia_util,4.58,5.6,0.77,-1.33,-1.33,-18.2,normal,40,alta,histórico dia_util,2.0
PT0002000073481266XH,2026-06-01,dia_util,5.82,5.3,0.53,0.98,0.98,9.8,normal,40,alta,histórico dia_util,2.0
PT0002000073573036KH,2026-06-01,dia_util,49.74,47.9,4.79,0.38,0.38,3.8,normal,40,alta,histórico dia_util,2.0
PT0002000073717386HC,2026-06-01,dia_util,1.04,4.76,1.34,-2.78,-2.78,-78.1,desvio,40,alta,histórico dia_util,2.0
PT0002000073720434JD,2026-06-01,dia_util,10.48,13.53,6.55,-0.46,-0.46,-22.5,normal,40,alta,histórico dia_util,2.0
PT0002000075637532JB,2026-06-01,dia_util,5.83,5.45,1.19,0.32,0.32,7.0,normal,40,alta,histórico dia_util,2.0
PT0002000077348081AG,2026-06-01,dia_util,16.48,17.6,5.47,-0.2,-0.2,-6.4,normal,40,alta,histórico dia_util,2.0
PT0002000077394934QY,2026-06-01,dia_util,20.39,20.12,2.01,0.13,0.13,1.3,normal,40,alta,histórico dia_util,2.0
PT0002000077647404EM,2026-06-01,dia_util,9.63,9.5,2.81,0.05,0.05,1.4,normal,40,alta,histórico dia_util,2.0
PT0002000078140706BA,2026-06-01,dia_util,7.14,9.47,3.6,-0.65,-0.65,-24.6,normal,40,alta,histórico dia_util,2.0
PT0002000078207354XC,2026-06-01,dia_util,4.84,3.65,0.93,1.28,1.28,32.5,normal,40,alta,histórico dia_util,2.0
PT0002000078233981HJ,2026-06-01,dia_util,3.83,3.49,0.72,0.47,0.47,9.7,normal,40,alta,histórico dia_util,2.0
PT0002000078294957RQ,2026-06-01,dia_util,6.96,5.84,1.23,0.9,0.9,19.1,normal,40,alta,histórico dia_util,2.0
PT0002000078441876HB,2026-06-01,dia_util,248.43,232.11,30.62,0.53,0.53,7.0,normal,40,alta,histórico dia_util,2.0
PT0002000079469719HF,2026-06-01,dia_util,32.22,32.04,3.2,0.06,0.06,0.6,normal,40,alta,histórico dia_util,2.0
PT0002000081344542CP,2026-06-01,dia_util,2.31,3.98,0.87,-1.93,-1.93,-42.1,normal,40,alta,histórico dia_util,2.0
PT0002000081997398TD,2026-06-01,dia_util,24.74,26.62,4.73,-0.4,-0.4,-7.1,normal,40,alta,histórico dia_util,2.0
PT0002000082549706RH,2026-06-01,dia_util,9.21,5.91,0.61,5.45,5.45,55.9,desvio,40,alta,histórico dia_util,2.0
PT0002000100113293JT,2026-06-01,dia_util,37.59,38.68,3.87,-0.28,-0.28,-2.8,normal,40,alta,histórico dia_util,2.0
PT0002000101964938LF,2026-06-01,dia_util,5.96,5.1,0.52,1.65,1.65,16.8,normal,40,alta,histórico dia_util,2.0
PT0002000102936404ME,2026-06-01,dia_util,4.03,4.88,0.49,-1.73,-1.73,-17.3,normal,40,alta,histórico dia_util,2.0
PT0002000103647515BL,2026-06-01,dia_util,0.16,0.24,0.3,-0.28,-0.28,-34.4,normal,40,alta,histórico dia_util,2.0
PT0002000105483259QH,2026-06-01,dia_util,0.17,0.45,0.3,-0.95,-0.95,-63.0,normal,40,alta,histórico dia_util,2.0
PT0002000106102375RC,2026-06-01,dia_util,13.82,10.42,1.77,1.92,1.92,32.7,normal,40,alta,histórico dia_util,2.0
PT0002000107046231FW,2026-06-01,dia_util,4.37,3.65,0.75,0.95,0.95,19.7,normal,40,alta,histórico dia_util,2.0
PT0002000107172384HT,2026-06-01,dia_util,5.83,5.56,1.47,0.19,0.19,4.9,normal,40,alta,histórico dia_util,2.0
PT0002000109837807PE,2026-06-01,dia_util,6.99,5.59,1.2,1.17,1.17,25.0,normal,40,alta,histórico dia_util,2.0
PT0002000110090564GD,2026-06-01,dia_util,4.23,5.16,1.1,-0.85,-0.85,-18.1,normal,40,alta,histórico dia_util,2.0
PT0002000110607652SB,2026-06-01,dia_util,7.37,5.07,1.77,1.3,1.3,45.2,normal,40,alta,histórico dia_util,2.0
PT0002000110814293YC,2026-06-01,dia_util,7.34,5.87,0.9,1.62,1.62,25.0,normal,40,alta,histórico dia_util,2.0
PT0002000111572054VT,2026-06-01,dia_util,3.71,2.85,1.01,0.85,0.85,30.1,normal,40,alta,histórico dia_util,2.0
PT0002000112989585PH,2026-06-01,dia_util,28.91,11.74,4.08,4.21,4.21,146.1,desvio,40,alta,histórico dia_util,2.0
PT0002000114613364CC,2026-06-01,dia_util,56.46,53.7,9.03,0.31,0.31,5.1,normal,40,alta,histórico dia_util,2.0
PT0002000114685657JR,2026-06-01,dia_util,63.18,62.82,6.28,0.06,0.06,0.6,normal,40,alta,histórico dia_util,2.0
PT0002000115031201VQ,2026-06-01,dia_util,5.54,7.65,2.58,-0.82,-0.82,-27.6,normal,40,alta,histórico dia_util,2.0
PT0002000115673389QK,2026-06-01,dia_util,19.02,14.42,3.1,1.49,1.49,31.9,normal,40,alta,histórico dia_util,2.0
PT0002000115673471CB,2026-06-01,dia_util,11.39,11.29,2.39,0.04,0.04,0.9,normal,40,alta,histórico dia_util,2.0
PT0002000115700602GW,2026-06-01,dia_util,9.57,10.31,1.44,-0.52,-0.52,-7.2,normal,40,alta,histórico dia_util,2.0
PT0002000116530964LH,2026-06-01,dia_util,50.53,48.47,9.22,0.22,0.22,4.3,normal,40,alta,histórico dia_util,2.0
PT0002000119303492KB,2026-06-01,dia_util,7.23,5.99,1.29,0.96,0.96,20.8,normal,40,alta,histórico dia_util,2.0
PT0002000120237616VJ,2026-06-01,dia_util,9.22,8.11,0.81,1.37,1.37,13.7,normal,40,alta,histórico dia_util,2.0
PT0002000123648159KR,2026-06-01,dia_util,5.43,4.43,0.8,1.26,1.26,22.7,normal,40,alta,histórico dia_util,2.0
PT0002000125379984SH,2026-06-01,dia_util,3.45,4.87,1.43,-0.99,-0.99,-29.2,normal,40,alta,histórico dia_util,2.0
PT0002000125701614SQ,2026-06-01,dia_util,11.74,13.71,2.19,-0.9,-0.9,-14.4,normal,40,alta,histórico dia_util,2.0
PT0002000201038711LS,2026-06-01,dia_util,5.64,6.46,1.55,-0.53,-0.53,-12.6,normal,40,alta,histórico dia_util,2.0
PT0002000201936109ME,2026-06-01,dia_util,0.0,0.22,0.42,-0.52,-0.52,-100.0,normal,40,alta,histórico dia_util,2.0
PT0002000203419117SJ,2026-06-01,dia_util,0.0,0.0,0.3,0.0,0.0,0.0,normal,40,alta,histórico dia_util,2.0
PT0002000203886452WB,2026-06-01,dia_util,0.0,0.0,0.3,-0.0,-0.0,-10.4,normal,40,alta,histórico dia_util,2.0
